,coef,se
Intercept,-2.9823918010462354,1.7501423361497384
C(driver_id)[T.D-02],-0.23960701934736583,0.07146078191688299
C(driver_id)[T.D-03],-0.37816979752330077,0.14379051577438692
C(driver_id)[T.D-04],-0.5575340624455265,0.08346366660651901
distance_km,0.061525601019365043,0.0053452469520549025
stops,0.2593852676465598,0.03860663602076851
low_speed_share_time_t18,1.6366671333059988,0.3083514529542706
