term,coef,se,t,p,ci_low,ci_high,model,service
Intercept,1.6435729253809441,7.067431528280814,0.23255590362695047,0.8161062722895855,-12.208338333252323,15.495484184014211,H2_Workload_stops,svc18
C(driver_id)[T.D-02],0.04385976098375899,0.4390275182079825,0.09990207712442549,0.9204220672962836,-0.8166183629258895,0.9043378848934075,H2_Workload_stops,svc18
C(driver_id)[T.D-03],0.2319350672269883,0.4165667184086417,0.5567777188562283,0.5776793089326753,-0.5845206980119877,1.0483908324659643,H2_Workload_stops,svc18
C(driver_id)[T.D-04],0.13271968182278115,0.5173177640496421,0.2565534977647613,0.7975234770098071,-0.8812045042773069,1.1466438679228692,H2_Workload_stops,svc18
C(weekday)[T.1],-0.06323138186643196,0.46061768738067765,-0.1372751928524498,0.890813278022492,-0.9660254597746899,0.839562696041826,H2_Workload_stops,svc18
C(weekday)[T.2],-0.3492692828770195,0.5213579113383902,-0.6699222842526781,0.5029073332702338,-1.371112012155291,0.6725734464012519,H2_Workload_stops,svc18
C(weekday)[T.3],0.10347193182160971,0.379675187585104,0.27252750562852235,0.7852164449195795,-0.6406777616686832,0.8476216253119027,H2_Workload_stops,svc18
C(weekday)[T.4],-0.1596981848878098,0.40050959759765525,-0.3987374730735909,0.6900866533136472,-0.9446825716418439,0.6252862018662242,H2_Workload_stops,svc18
C(weekday)[T.5],-0.13870001762413897,0.5019887470977306,-0.27630104942797834,0.7823168499526769,-1.1225798825800766,0.8451798473317985,H2_Workload_stops,svc18
C(weekday)[T.6],-0.3203429011466187,0.47803721120373255,-0.6701212659574595,0.5027804894025767,-1.2572786183759017,0.6165928160826644,H2_Workload_stops,svc18
stops,0.23552996323689251,0.1268971031026702,1.8560704498220846,0.06344351706371731,-0.013183788586806994,0.48424371506059205,H2_Workload_stops,svc18
distance_km,0.02765273108625183,0.029040397665065852,0.9522159925350018,0.34098745196944025,-0.029265402433998323,0.08457086460650198,H2_Workload_stops,svc18
low_speed_share,1.692003395152586,1.6232162687642349,1.0423770557947396,0.29723689976586,-1.489442030744803,4.8734488210499745,H2_Workload_stops,svc18
