term,coef,se,t,p,ci_low,ci_high,model,service
Intercept,1.6435729253809086,7.0674315282807525,0.23255590362694745,0.8161062722895879,-12.20833833325224,15.495484184014057,H4_Congestion_burden,svc18
C(driver_id)[T.D-02],0.04385976098375721,0.43902751820797936,0.09990207712442217,0.9204220672962863,-0.8166183629258852,0.9043378848933996,H4_Congestion_burden,svc18
C(driver_id)[T.D-03],0.23193506722698998,0.4165667184086379,0.5567777188562373,0.5776793089326691,-0.5845206980119787,1.0483908324659588,H4_Congestion_burden,svc18
C(driver_id)[T.D-04],0.13271968182277938,0.5173177640496368,0.25655349776476044,0.7975234770098077,-0.8812045042772982,1.146643867922857,H4_Congestion_burden,svc18
C(weekday)[T.1],-0.06323138186642568,0.46061768738067377,-0.13727519285243733,0.8908132780225019,-0.966025459774676,0.8395626960418245,H4_Congestion_burden,svc18
C(weekday)[T.2],-0.3492692828770157,0.5213579113383852,-0.6699222842526771,0.5029073332702345,-1.3711120121552773,0.6725734464012461,H4_Congestion_burden,svc18
C(weekday)[T.3],0.10347193182161052,0.37967518758510116,0.2725275056285265,0.7852164449195763,-0.6406777616686768,0.8476216253118979,H4_Congestion_burden,svc18
C(weekday)[T.4],-0.15969818488780693,0.400509597597652,-0.39873747307358703,0.69008665331365,-0.9446825716418346,0.6252862018662206,H4_Congestion_burden,svc18
C(weekday)[T.5],-0.13870001762413806,0.5019887470977251,-0.2763010494279795,0.782316849952676,-1.1225798825800648,0.8451798473317887,H4_Congestion_burden,svc18
C(weekday)[T.6],-0.3203429011466175,0.478037211203729,-0.670121265957462,0.5027804894025749,-1.2572786183758935,0.6165928160826586,H4_Congestion_burden,svc18
low_speed_share,1.6920033951525948,1.623216268764223,1.0423770557947527,0.2972368997658539,-1.489442030744771,4.87344882104996,H4_Congestion_burden,svc18
distance_km,0.02765273108625193,0.02904039766506559,0.9522159925350139,0.34098745196943425,-0.029265402433997702,0.08457086460650157,H4_Congestion_burden,svc18
stops,0.2355299632368935,0.1268971031026692,1.8560704498221072,0.06344351706371411,-0.013183788586804052,0.48424371506059105,H4_Congestion_burden,svc18
