term,coef,se,t,p,ci_low,ci_high,model,service
Intercept,173.24999999999997,1.721012926181745e-13,1006674600546865.2,0.0,173.24999999999963,173.2500000000003,H1_Emissions_intensity,svc18
C(driver_id)[T.D-02],94.75000000000011,4.184698399257004e-14,2264201406171184.0,0.0,94.75000000000003,94.7500000000002,H1_Emissions_intensity,svc18
C(driver_id)[T.D-03],94.74999999999983,6.296382018280381e-14,1504832453382128.5,0.0,94.7499999999997,94.74999999999996,H1_Emissions_intensity,svc18
C(driver_id)[T.D-04],121.54999999999978,8.355859188731e-14,1454667883392845.0,0.0,121.54999999999961,121.54999999999995,H1_Emissions_intensity,svc18
C(weekday)[T.1],-5.969010460769495e-14,8.2892562793516e-14,-0.7200899887289287,0.47146959106621966,-2.221565422692112e-13,1.027763330538213e-13,H1_Emissions_intensity,svc18
C(weekday)[T.2],-4.760954578699981e-14,9.058247706242035e-14,-0.5255933303103656,0.5991707918235989,-2.2514793845976925e-13,1.2992884688576963e-13,H1_Emissions_intensity,svc18
C(weekday)[T.3],2.7926361485913812e-14,5.620602885819816e-14,0.4968570463565226,0.6192898635968175,-8.223543079017352e-14,1.3808815376200113e-13,H1_Emissions_intensity,svc18
C(weekday)[T.4],9.833846825303347e-15,6.275831277400417e-14,0.1566939324948955,0.8754860691776271,-1.1317018594224485e-13,1.3283787959285154e-13,H1_Emissions_intensity,svc18
C(weekday)[T.5],6.311831800253208e-14,7.225378004874116e-14,0.8735642337321804,0.3823556111395531,-7.84964886398793e-14,2.0473312464494346e-13,H1_Emissions_intensity,svc18
C(weekday)[T.6],5.335358826863153e-14,6.68985870014313e-14,0.7975293748355257,0.42514364974039465,-7.776523287079324e-14,1.844724094080563e-13,H1_Emissions_intensity,svc18
low_speed_share,1.2364615465009293e-13,2.1939902619478507e-13,0.563567472447751,0.5730485289726959,-3.063680349348457e-13,5.536603442350316e-13,H1_Emissions_intensity,svc18
stops_per_km,-3.9648869936032303e-13,4.525189890492475e-13,-0.8761813514021912,0.38093145285021235,-1.2834096202173232e-12,4.904322214966772e-13,H1_Emissions_intensity,svc18
