term,coef,se,t,p,ci_low,ci_high,model,service
Intercept,4.00855873289953,6.729547960087253,0.5956653785178695,0.5513987913020764,-9.181112901106475,17.198230366905534,H4_Congestion_burden,svc12
C(driver_id)[T.D-02],-0.09021473449478101,0.45114212704504913,-0.1999696527692537,0.8415043153195484,-0.9744370554118708,0.7940075864223087,H4_Congestion_burden,svc12
C(driver_id)[T.D-03],0.18475724016634104,0.43416522278166136,0.4255459223164315,0.6704387524326325,-0.6661909598255242,1.0357054401582062,H4_Congestion_burden,svc12
C(driver_id)[T.D-04],-0.10458429513127498,0.46619223714321484,-0.22433727290732763,0.8224948756244108,-1.0183042898041321,0.8091356995415822,H4_Congestion_burden,svc12
C(weekday)[T.1],0.030054996758834232,0.47050839066993777,0.0638777062318488,0.9490676038679235,-0.8921245033781453,0.9522344968958139,H4_Congestion_burden,svc12
C(weekday)[T.2],-0.16834266562607936,0.4892907428381545,-0.34405446677695073,0.7308053250179092,-1.1273348995577117,0.7906495683055529,H4_Congestion_burden,svc12
C(weekday)[T.3],0.18007674333605128,0.40588797588390335,0.44366119233736273,0.657287557015551,-0.6154490711542613,0.9756025578263638,H4_Congestion_burden,svc12
C(weekday)[T.4],-0.1625286927812714,0.4250198398862592,-0.3824026022520883,0.7021627604700433,-0.9955522716733198,0.6704948861107769,H4_Congestion_burden,svc12
C(weekday)[T.5],-0.08502898124591637,0.5615190746114399,-0.15142670140770328,0.8796391276423235,-1.185586144116598,1.0155281816247652,H4_Congestion_burden,svc12
C(weekday)[T.6],-0.24894327983047598,0.504394044270659,-0.49354920554314163,0.6216245810752774,-1.2375374406174693,0.7396508809565174,H4_Congestion_burden,svc12
low_speed_share,0.9325864691233916,2.3078185157610567,0.4040987030628141,0.6861401386476474,-3.5906547046229624,5.455827642869745,H4_Congestion_burden,svc12
distance_km,0.018209720489299815,0.027694313446812724,0.657525615295422,0.5108430059824474,-0.03607013644301645,0.07248957742161607,H4_Congestion_burden,svc12
stops,0.21485379417253656,0.12758547679181484,1.6839988341550827,0.09218189404874735,-0.03520914528979144,0.4649167336348645,H4_Congestion_burden,svc12
