term,coef,se,t,p,ci_low,ci_high,model,service
Intercept,173.24999999999991,1.6518441575010731e-13,1048827755410621.1,0.0,173.2499999999996,173.25000000000023,H1,svc12
C(driver_id)[T.D-02],94.75000000000028,4.8075239096474376e-14,1970869033222319.0,0.0,94.75000000000018,94.75000000000038,H1,svc12
C(driver_id)[T.D-03],94.75000000000047,7.380345759878892e-14,1283815190815061.0,0.0,94.75000000000033,94.75000000000061,H1,svc12
C(driver_id)[T.D-04],121.54999999999984,7.873363758033756e-14,1543812831916646.8,0.0,121.54999999999968,121.55,H1,svc12
C(weekday)[T.1],-6.000405896220272e-14,8.692909173142502e-14,-0.6902644185860181,0.49002791937041523,-2.3038194796457437e-13,1.1037383004016893e-13,H1,svc12
C(weekday)[T.2],-1.9161614803377035e-14,8.05608838372918e-14,-0.2378525891309435,0.8119954286496454,-1.7705804568718393e-13,1.3873481608042983e-13,H1,svc12
C(weekday)[T.3],4.115544931857079e-14,6.318496294854172e-14,0.6513487924664619,0.5148213583099337,-8.268480242506871e-14,1.649957010622103e-13,H1,svc12
C(weekday)[T.4],5.099135618444207e-14,6.554371390799158e-14,0.7779747765898999,0.43658388326234043,-7.747196248821848e-14,1.794546748571026e-13,H1,svc12
C(weekday)[T.5],-4.7208104309503034e-14,8.567795056682067e-14,-0.5509947891749021,0.58163724664452,-2.1513380168967466e-13,1.2071759307066857e-13,H1,svc12
C(weekday)[T.6],9.464566651681127e-15,7.419792223986337e-14,0.12755837853632268,0.8984984710894967,-1.3596068866615457e-13,1.548898219695168e-13,H1,svc12
low_speed_share,3.797600840702907e-14,3.3519795480470197e-13,0.1132942724222623,0.9097972579505377,-6.189999107016715e-13,6.949519275157297e-13,H1,svc12
stops_per_km,-1.6977295909020189e-13,4.537683371768283e-13,-0.3741401617981189,0.708300040112573,-1.059142557281413e-12,7.195966391010092e-13,H1,svc12
Intercept,4.008558732899536,6.729547960087252,0.5956653785178704,0.5513987913020757,-9.181112901106466,17.198230366905538,H2,svc12
C(driver_id)[T.D-02],-0.09021473449478812,0.45114212704504736,-0.19996965276927023,0.8415043153195355,-0.9744370554118744,0.7940075864222982,H2,svc12
C(driver_id)[T.D-03],0.18475724016633543,0.4341652227816598,0.42554592231642013,0.6704387524326407,-0.6661909598255268,1.0357054401581975,H2,svc12
C(driver_id)[T.D-04],-0.10458429513128031,0.466192237143213,-0.22433727290733993,0.8224948756244013,-1.018304289804134,0.8091356995415733,H2,svc12
C(weekday)[T.1],0.030054996758833108,0.4705083906699359,0.06387770623184666,0.9490676038679253,-0.8921245033781429,0.952234496895809,H2,svc12
C(weekday)[T.2],-0.16834266562607797,0.4892907428381541,-0.3440544667769481,0.7308053250179112,-1.1273348995577095,0.7906495683055534,H2,svc12
C(weekday)[T.3],0.18007674333605095,0.40588797588390224,0.4436611923373631,0.6572875570155507,-0.6154490711542595,0.9756025578263614,H2,svc12
C(weekday)[T.4],-0.16252869278127252,0.42501983988625885,-0.38240260225209116,0.7021627604700413,-0.9955522716733203,0.6704948861107751,H2,svc12
C(weekday)[T.5],-0.0850289812459169,0.5615190746114388,-0.15142670140770453,0.8796391276423225,-1.1855861441165962,1.0155281816247625,H2,svc12
C(weekday)[T.6],-0.24894327983048017,0.5043940442706571,-0.4935492055431518,0.6216245810752702,-1.2375374406174697,0.7396508809565094,H2,svc12
stops,0.2148537941725365,0.12758547679181473,1.6839988341550838,0.09218189404874716,-0.03520914528979127,0.4649167336348643,H2,svc12
distance_km,0.01820972048929976,0.027694313446812686,0.6575256152954209,0.510843005982448,-0.03607013644301643,0.07248957742161595,H2,svc12
low_speed_share,0.9325864691233817,2.3078185157610536,0.40409870306281037,0.6861401386476502,-3.590654704622967,5.45582764286973,H2,svc12
