term,coef,se,t,p,ci_low,ci_high,model,service
Intercept,173.24999999999991,1.6518441575010731e-13,1048827755410621.1,0.0,173.2499999999996,173.25000000000023,H1_Emissions_intensity,svc12
C(driver_id)[T.D-02],94.75000000000028,4.8075239096474376e-14,1970869033222319.0,0.0,94.75000000000018,94.75000000000038,H1_Emissions_intensity,svc12
C(driver_id)[T.D-03],94.75000000000047,7.380345759878892e-14,1283815190815061.0,0.0,94.75000000000033,94.75000000000061,H1_Emissions_intensity,svc12
C(driver_id)[T.D-04],121.54999999999984,7.873363758033756e-14,1543812831916646.8,0.0,121.54999999999968,121.55,H1_Emissions_intensity,svc12
C(weekday)[T.1],-6.000405896220272e-14,8.692909173142502e-14,-0.6902644185860181,0.49002791937041523,-2.3038194796457437e-13,1.1037383004016893e-13,H1_Emissions_intensity,svc12
C(weekday)[T.2],-1.9161614803377035e-14,8.05608838372918e-14,-0.2378525891309435,0.8119954286496454,-1.7705804568718393e-13,1.3873481608042983e-13,H1_Emissions_intensity,svc12
C(weekday)[T.3],4.115544931857079e-14,6.318496294854172e-14,0.6513487924664619,0.5148213583099337,-8.268480242506871e-14,1.649957010622103e-13,H1_Emissions_intensity,svc12
C(weekday)[T.4],5.099135618444207e-14,6.554371390799158e-14,0.7779747765898999,0.43658388326234043,-7.747196248821848e-14,1.794546748571026e-13,H1_Emissions_intensity,svc12
C(weekday)[T.5],-4.7208104309503034e-14,8.567795056682067e-14,-0.5509947891749021,0.58163724664452,-2.1513380168967466e-13,1.2071759307066857e-13,H1_Emissions_intensity,svc12
C(weekday)[T.6],9.464566651681127e-15,7.419792223986337e-14,0.12755837853632268,0.8984984710894967,-1.3596068866615457e-13,1.548898219695168e-13,H1_Emissions_intensity,svc12
low_speed_share,3.797600840702907e-14,3.3519795480470197e-13,0.1132942724222623,0.9097972579505377,-6.189999107016715e-13,6.949519275157297e-13,H1_Emissions_intensity,svc12
stops_per_km,-1.6977295909020189e-13,4.537683371768283e-13,-0.3741401617981189,0.708300040112573,-1.059142557281413e-12,7.195966391010092e-13,H1_Emissions_intensity,svc12
