term,coef,se,t,p,ci_low,ci_high,model,service
Intercept,173.24999999999991,1.6518441575010731e-13,1048827755410621.1,0.0,173.2499999999996,173.25000000000023,H1,svc12
low_speed_share,3.797600840702907e-14,3.3519795480470197e-13,0.1132942724222623,0.9097972579505377,-6.189999107016715e-13,6.949519275157297e-13,H1,svc12
stops_per_km,-1.6977295909020189e-13,4.537683371768283e-13,-0.3741401617981189,0.708300040112573,-1.059142557281413e-12,7.195966391010092e-13,H1,svc12
Intercept,4.008558732899536,6.729547960087252,0.5956653785178704,0.5513987913020757,-9.181112901106466,17.198230366905538,H2,svc12
stops,0.2148537941725365,0.12758547679181473,1.6839988341550838,0.09218189404874716,-0.03520914528979127,0.4649167336348643,H2,svc12
distance_km,0.01820972048929976,0.027694313446812686,0.6575256152954209,0.510843005982448,-0.03607013644301643,0.07248957742161595,H2,svc12
low_speed_share,0.9325864691233817,2.3078185157610536,0.40409870306281037,0.6861401386476502,-3.590654704622967,5.45582764286973,H2,svc12
Intercept,4.00855873289953,6.729547960087253,0.5956653785178695,0.5513987913020764,-9.181112901106475,17.198230366905534,H4,svc12
low_speed_share,0.9325864691233916,2.3078185157610567,0.4040987030628141,0.6861401386476474,-3.5906547046229624,5.455827642869745,H4,svc12
distance_km,0.018209720489299815,0.027694313446812724,0.657525615295422,0.5108430059824474,-0.03607013644301645,0.07248957742161607,H4,svc12
stops,0.21485379417253656,0.12758547679181484,1.6839988341550827,0.09218189404874735,-0.03520914528979144,0.4649167336348645,H4,svc12
