,coef,se
Intercept,-1.06814011921458,1.8287115253771906
C(driver_id)[T.D-02],-0.45548585380622164,0.09916430033508165
C(driver_id)[T.D-03],-0.5456067046120302,0.14330283099689844
C(driver_id)[T.D-04],-0.8537687625451547,0.09283357972912323
distance_km,0.05516324577021213,0.00538413657039237
stops,0.24797472376353008,0.04115298031982359
low_speed_share_time_t12,0.46121999356673626,0.5887134129068484
