,coef,se
Intercept,-2.3567922875682177,1.5891913069736625
C(driver_id)[T.D-02],-0.3290237816881838,0.07812140844029546
C(driver_id)[T.D-03],-0.4354648598200423,0.1528216263173287
C(driver_id)[T.D-04],-0.7253430659851041,0.08348292651639722
distance_km,0.060915768882735255,0.004673230075693811
stops,0.2578610776303898,0.037025532646842066
low_speed_share_time_t15,1.3086434407843712,0.3822550289632952
