hour,speed_kmh
0,17.971709233791746
1,17.971709233791746
2,17.971709233791746
3,17.971709233791746
4,17.971709233791746
5,17.971709233791746
6,17.971709233791746
7,17.971709233791746
8,17.971709233791746
9,17.971709233791746
10,13.28
11,14.029882953119536
12,15.770114942528735
13,16.17940503432494
14,16.479360000000003
15,18.48786206896552
16,20.08821752265861
17,21.532330827067668
18,23.42896551724138
19,24.428571428571427
20,23.522179531959488
21,23.522179531959488
22,23.522179531959488
23,23.522179531959488
