date,driver_id,distance_km,drive_seconds,litres,co2_kg,n_legs,n_stop_legs,drive_hours,stops,low_speed_share_leg_t18,low_speed_share_time_t18,service_minutes,worked_hours,worked_hours_median_driver,_T_cong,_D_stops,_V_shift,S_DOBI,service_minutes_assumed,litres_lit,distance_km_dist,fuel_cost_vnd,maint_cost_vnd,labour_other_cost_vnd,total_cost_vnd,cost_per_km_vnd,cost_per_stop_vnd,co2_g_per_km,fuel_L_per_100km,on_frontier
2025-03-01,D-01,84.502,18841.0,6.33765,14.6399715,36,36,5.233611111111111,36,0.5,0.5439201740884242,10.0,12.733611111111111,12.539583333333333,0.5814180855870648,0.4413890689190269,0.0933460334739419,0.3929877649527165,10.0,6.33765,84.502,158066.0698336856,34789.959731746254,3626923.076923077,3819779.106488509,45203.41656396901,106104.97518023636,173.25,7.500000000000001,False
2025-03-01,D-02,89.028,16425.0,8.902800000000001,23.859504,35,35,4.5625,35,0.4,0.3618873668188737,10.0,11.895833333333332,12.15236111111111,0.3478255337203298,0.4804869664854916,0.1239624438699141,0.3204650365947536,10.0,8.902800000000001,89.028,222042.9664805309,36653.33998009403,3626923.076923077,3885619.383383702,43644.91377301188,111017.69666810575,268.0,10.0,False
2025-03-01,D-03,94.697,18856.0,9.4697,25.378796,32,32,5.237777777777778,32,0.59375,0.6013470513364446,10.0,12.071111111111112,11.859027777777778,0.6551107951778087,0.3815046888493448,0.1021907742550006,0.4071529570024271,10.0,9.4697,94.697,236181.90677996623,38987.29990671435,3626923.076923077,3902092.2836097577,41206.08132897301,121940.38386280493,268.0,10.0,False
2025-03-01,D-04,96.514,16454.0,10.61654,28.452327200000003,34,34,4.570555555555556,34,0.3823529411764705,0.3432599975689802,10.0,11.737222222222222,11.8325,0.3239220693783039,0.4650441732488674,0.0449721050483053,0.2825737112404734,10.0,10.61654,96.514,264785.0154287657,39735.36926403823,3626923.076923077,3931443.461615881,40734.43709322877,115630.69004752592,294.80000000000007,11.000000000000002,False
2025-03-03,D-01,95.879,18456.0,7.190925,16.61103675,34,34,5.126666666666667,34,0.4705882352941176,0.4815236237537928,10.0,12.293333333333331,12.539583333333333,0.5013480716210393,0.4205095317582836,0.118927745271465,0.3623704117573403,10.0,7.190925,95.879,179347.43212686025,39473.93610944238,3626923.076923077,3845744.4451593794,40110.39377923611,113110.13073998176,173.24999999999997,7.5,True
2025-03-03,D-02,95.549,17507.0,9.5549,25.607132000000004,34,34,4.863055555555556,34,0.3235294117647059,0.3174730107956817,10.0,12.029722222222222,12.15236111111111,0.2908310670711823,0.4411068096244405,0.0583752891549862,0.2661770564623009,10.0,9.5549,95.549,238306.8630571084,39338.07321020358,3626923.076923077,3904568.0131903887,40864.56177657944,114840.23568207026,268.00000000000006,10.0,False
2025-03-03,D-03,107.791,20382.0,10.7791,28.887988000000004,26,26,5.661666666666667,26,0.4615384615384615,0.466588166028849,10.0,11.495,11.859027777777778,0.4821822314870617,0.2492660111184501,0.1766226697509855,0.3206394968556554,10.0,10.7791,107.791,268839.3921002707,44378.17506620744,3626923.076923077,3940140.6440895554,36553.52157498822,151543.87092652137,268.00000000000006,10.0,False
2025-03-03,D-04,117.251,19438.0,12.89761,34.5655948,30,30,5.399444444444445,30,0.4,0.3574441815001543,10.0,11.899444444444445,11.8325,0.3421238417419186,0.3373810334465433,0.0310926656687983,0.2473916464313699,10.0,12.89761,117.251,321676.72922102705,48272.91151105277,3626923.076923077,3996872.7176551567,34088.175944385606,133229.09058850523,294.79999999999995,11.0,True
2025-03-04,D-01,97.857,19530.0,7.339275,16.95372525,32,32,5.425,32,0.46875,0.5466973886328725,10.0,12.258333333333333,12.539583333333333,0.5849819301612929,0.3677446026062137,0.1360729350932095,0.3851380333743441,10.0,7.339275,97.857,183047.40001082784,40288.29009336457,3626923.076923077,3850258.7670272696,39345.76746709249,120320.58646960216,173.25000000000003,7.5,False
2025-03-04,D-02,92.732,17336.0,9.2732,24.852176000000004,35,35,4.815555555555555,35,0.3428571428571428,0.3398707891093678,10.0,12.148888888888887,12.15236111111111,0.3195728871360235,0.4596590923006768,0.0,0.2657268825446124,10.0,9.2732,92.732,231281.0393097968,38178.29809761064,3626923.076923077,3896382.414330484,42017.66827341678,111325.21183801384,268.00000000000006,10.0,False
2025-03-04,D-03,111.013,21116.0,11.1013,29.751484,29,29,5.865555555555556,29,0.3793103448275862,0.5094714908126539,10.0,12.198888888888888,11.859027777777778,0.5372120111132457,0.2884894884251361,0.1647843243978766,0.350866948292202,10.0,11.1013,111.013,276875.3183032661,45704.69100968436,3626923.076923077,3949503.086236028,35576.942216101066,136189.76159434576,268.0,10.0,False
2025-03-04,D-04,112.682,20028.0,12.39502,33.2186536,31,31,5.5633333333333335,31,0.2903225806451613,0.3148092670261633,10.0,12.23,11.8325,0.28741283321557,0.3420113785022909,0.1930194584297184,0.2754743843658308,10.0,12.39502,112.682,309141.73185801203,46391.82791522842,3626923.076923077,3982456.636696317,35342.43833705754,128466.34311923604,294.8,11.0,False
2025-03-05,D-01,103.106,19519.0,7.73295,17.8631145,32,32,5.421944444444445,32,0.4375,0.4707208361084072,10.0,12.255277777777778,12.539583333333333,0.4874854565726245,0.3679657989950737,0.1375697373792347,0.3466548435413423,10.0,7.73295,103.106,192865.9699920948,42449.33360277188,3626923.076923077,3862238.380517944,37458.910058754525,120694.94939118574,173.25,7.5,False
